,ID,Item Description,Weight,Delivery_Date,Destination_Country,destination_iso_country,Manufacturing_site,Mode,source,departure,source_mode,arrival,destination,destination_mode,total_num_of_transports,dist_arrival_to_destination,dist_departure_to_arrival,dist_source_to_departure,emissions_source_to_departure,emissions_departure_to_arrival,emissions_arrival_to_destination,total_emissions
10,16232,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",1.486,22-04-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,562.9574252,1.685192366,564.6426176
11,20894,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",1.486,22-04-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,562.9574252,1.685192366,564.6426176
12,22799,"Didanosine 125mg, delayed-release capsules, 30 Caps",0.016,10-04-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,6.061452762,0.018144736,6.079597498
13,36816,"Stavudine 30mg, capsules, 60 Caps",0.006,16-08-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,2.273044786,0.006804276,2.279849062
14,45695,"Efavirenz 50mg, capsule, 30 Caps",0.106,18-08-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,40.15712455,0.120208877,40.27733342
15,54035,"Didanosine 400mg, delayed-release capsules, 30 Caps",0.004,04-10-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,1.51536319,0.004536184,1.519899374
16,57747,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",0.156,04-10-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,59.09916443,0.176911177,59.2760756
17,81920,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",1.296,04-10-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,490.9776737,1.469723624,492.4473973
18,83011,"Abacavir 20mg/ml, oral solution w/syringe, Bottle, 240 ml",9.635,12-03-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,3650.131085,10.92653327,3661.057618
19,83622,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",1.596,11-09-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,604.629913,1.809937426,606.4398504
20,83638,"Efavirenz 600mg, tablets, 30 Tabs",1.679,16-11-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,636.0736992,1.904063245,637.9777624
21,84144,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",9.635,12-03-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,3650.131085,10.92653327,3661.057618
22,84708,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",9.635,12-03-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,3650.131085,10.92653327,3661.057618
23,84768,"Abacavir 300mg, tablets, 60 Tabs",3.809,14-11-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,1443.004598,4.319581239,1447.324179
24,85220,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",1.587,19-01-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,601.2203458,1.799731012,603.0200768
25,85827,"Efavirenz 50mg, capsule, 30 Caps",9.635,12-03-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,3650.131085,10.92653327,3661.057618
26,86452,"Stavudine 20mg, capsules, 60 Caps",0.016,12-03-2012,Haiti,HT,"Aurobindo Unit III, India",Air,POINT (17.52389000000005 78.34978000000007),POINT (17.627199173 78.4033966064),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9240.019454,,,6.061452762,0.018144736,6.079597498
27,33263,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",0.022,08-11-2012,Haiti,HT,Bristol-Myers Squibb Anagni IT,Air,POINT (41.74305000000004 13.162900000000036),POINT (41.716433 13.094704),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,5140.516811,5.612549244,0.026053454,4.636746163,0.024949012,4.687748629
28,50730,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",0.026,13-06-2012,Haiti,HT,Bristol-Myers Squibb Anagni IT,Air,POINT (41.74305000000004 13.162900000000036),POINT (41.716433 13.094704),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,5140.516811,5.612549244,0.030790445,5.47979092,0.029485196,5.540066562
29,27177,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",0.367,05-03-2012,Haiti,HT,"KHB Test Kit Facility, Shanghai China",Air,POINT (31.255160000000046 121.4747000000001),POINT (31.324438 121.409508),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,8870.974849,,,133.4815586,0.416194884,133.8977534
30,32775,"HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests",0.434,10-08-2012,Haiti,HT,"KHB Test Kit Facility, Shanghai China",Air,POINT (31.255160000000046 121.4747000000001),POINT (31.324438 121.409508),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,8870.974849,,,157.8501265,0.492175967,158.3423024
31,61980,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",0.687,29-10-2012,Haiti,HT,"MSD, Haarlem, NL",Air,POINT (52.39066000000008 4.66226000000006),POINT (52.308601 4.76389),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,4666.967506,10.29863174,1.492858761,131.4544738,0.779089606,133.7264221
32,64709,"Indinavir 400mg [Crixivan], capsules, 180 Caps",0.007,13-02-2012,Haiti,HT,"MSD, Haarlem, NL",Air,POINT (52.39066000000008 4.66226000000006),POINT (52.308601 4.76389),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,4666.967506,10.29863174,0.015211079,1.339419674,0.007938322,1.362569075
33,78403,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",0.072,14-03-2012,Haiti,HT,"MSD, Haarlem, NL",Air,POINT (52.39066000000008 4.66226000000006),POINT (52.308601 4.76389),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,4666.967506,10.29863174,0.156456813,13.77688808,0.081651312,14.0149962
34,55706,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",0.02,07-08-2012,Haiti,HT,"Strides, Bangalore, India.",Air,POINT (12.938310000000058 77.52572000000004),POINT (12.95 77.668198),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9448.067164,,,7.747415074,0.02268092,7.770095994
35,84704,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",0.037,13-02-2012,Haiti,HT,"Strides, Bangalore, India.",Air,POINT (12.938310000000058 77.52572000000004),POINT (12.95 77.668198),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9448.067164,,,14.33271789,0.041959702,14.37467759
36,86431,"Efavirenz 600mg, tablets, 30 Tabs",2.047,17-01-2012,Haiti,HT,"Strides, Bangalore, India.",Air,POINT (12.938310000000058 77.52572000000004),POINT (12.95 77.668198),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9448.067164,,,792.9479328,2.321392175,795.269325
37,86451,"Lamivudine/Stavudine 150/30mg, tablets, 60 Tabs",0.037,13-02-2012,Haiti,HT,"Strides, Bangalore, India.",Air,POINT (12.938310000000058 77.52572000000004),POINT (12.95 77.668198),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9448.067164,,,14.33271789,0.041959702,14.37467759
38,37089,"Chloroquine 150mg base (as phosphate), tablets, 1000 Tabs",5.051,10-05-2012,Haiti,HT,"Micro Labs, Hosur, India",Air,POINT (12.734860000000026 77.84529000000003),POINT (12.661299705505373 77.76719665527344),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9467.068194,9.350044117,9.964912369,1960.544619,5.728066379,1976.237598
39,40351,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, 1000 Tabs",1.173,18-01-2012,Haiti,HT,"Micro Labs, Hosur, India",Air,POINT (12.734860000000026 77.84529000000003),POINT (12.661299705505373 77.76719665527344),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9467.068194,9.350044117,2.314163969,455.2997107,1.330235966,458.9441106
40,43059,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",1.979,17-07-2012,Haiti,HT,"MSD Patheon, Canada",Air,POINT (60.108670000000075 -113.64257999999995),POINT (60.020302 -111.961998),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,3466.058509,,,281.2325214,2.244277047,283.4767984
41,43347,"Chloroquine 150mg base (as phosphate), tablets, 1000 Tabs",1.173,18-01-2012,Haiti,HT,"Medopharm Malur Factory, INDIA",Air,POINT (12.982810000000029 77.92277000000007),POINT (12.95 77.668198),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9448.067164,,,454.3858941,1.330235966,455.7161301
42,51535,"Malaria, Antigen P.f., HRP2 CareStart Kit, 60 Tests",0.005,14-02-2012,Haiti,HT,"Access BIO, L.C.",Air,POINT (39.052820000000054 -78.22616199999999),POINT (39.061816 -78.092365),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,1457.191229,10.10706252,0.010662951,0.298724202,0.00567023,0.315057383
43,60023,"Abacavir 60mg, dispersible tablets, 60 Tabs",0.046,12-06-2012,Haiti,HT,"Cipla, Patalganga, India",Air,POINT (18.832260000000076 77.17021000000005),POINT (19.1833000183 77.31670379639999),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9111.8687,34.99770092,0.339687685,17.18498437,0.052166116,17.57683817
44,61191,"Abacavir/Lamivudine 60/30mg, dispersible tablets, 60 Tabs",0.173,05-09-2012,Haiti,HT,"Cipla, Patalganga, India",Air,POINT (18.832260000000076 77.17021000000005),POINT (19.1833000183 77.31670379639999),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9111.8687,34.99770092,1.277521077,64.63048469,0.196189959,66.10419573
45,85263,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",5.456,06-06-2012,Haiti,HT,"Cipla, Kurkumbh, India",Air,POINT (18.409640000000024 74.48261000000008),POINT (18.226944 74.590833),Road,POINT (18.58 -72.292503),POINT (18.543490000000077 -72.33880999999997),Road,3,5.374625623,9042.622589,19.54068127,22.49554493,2022.798503,6.187355011,2051.481403
46,19105,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",1.631,22-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,4.630872698,215.1054951,3.419534185,223.155902
47,46005,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",6.49,28-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,18.42695513,855.9378684,13.60685277,887.9716763
48,46574,"Lamivudine/Stavudine 60/12mg, dispersible tablets, 60 Tabs",0.049,15-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,0.139124931,6.46239685,0.102732787,6.704254567
49,52244,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",0.055,23-05-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,0.156160637,7.253710749,0.115312312,7.525183698
50,61715,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",1.514,29-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,4.298676435,199.6748741,3.174233449,207.147784
51,71469,"Lamivudine/Stavudine 60/12mg, dispersible tablets, 60 Tabs",0.05,28-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,0.141964215,6.5942825,0.104829374,6.841076089
52,79841,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",6.49,28-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,18.42695513,855.9378684,13.60685277,887.9716763
53,84724,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",0.001,01-06-2012,Rwanda,RW,"Cipla, Goa, India",Air,POINT (15.359210000000076 73.93967000000004),POINT (15.3808 73.831398),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3216.72317,13.45632371,0.002839284,0.13188565,0.002096587,0.136821522
54,49837,"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",0.043,27-02-2012,Rwanda,RW,ABBVIE Ludwigshafen Germany,Air,POINT (49.4752200201504 8.440380025860094),POINT (49.473057 8.514167),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3780.667325,,,6.665316494,0.090153262,6.755469756
55,52460,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",0.188,27-01-2012,Rwanda,RW,ABBVIE Ludwigshafen Germany,Air,POINT (49.4752200201504 8.440380025860094),POINT (49.473057 8.514167),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3780.667325,,,29.14138374,0.394158447,29.53554219
56,65005,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",0.15,02-02-2012,Rwanda,RW,ABBVIE Ludwigshafen Germany,Air,POINT (49.4752200201504 8.440380025860094),POINT (49.473057 8.514167),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3780.667325,,,23.25110405,0.314488122,23.56559217
57,72142,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",0.186,29-06-2012,Rwanda,RW,ABBVIE Ludwigshafen Germany,Air,POINT (49.4752200201504 8.440380025860094),POINT (49.473057 8.514167),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3780.667325,,,28.83136902,0.389965272,29.22133429
58,20239,"Efavirenz 600mg, tablets, 30 Tabs",1.751,20-07-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,255.0366446,3.671124683,258.7077693
59,33116,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",9.117,04-08-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,1327.909245,19.11458808,1347.023834
60,47541,"Nevirapine 200mg, tablets, 60 Tabs",9.117,04-08-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,1327.909245,19.11458808,1347.023834
61,65780,"Nevirapine 200mg, tablets, 60 Tabs",3.204,20-07-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,466.6689944,6.717466296,473.3864607
62,67806,"Efavirenz 600mg, tablets, 30 Tabs",0.262,20-07-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,38.16082289,0.549305921,38.71012881
63,71064,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",4.574,04-08-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,666.2122287,9.589791148,675.8020198
64,78311,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",4.479,22-10-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,652.3752891,9.390615337,661.7659044
65,85882,"Zidovudine 300mg, tablets, 60 Tabs",0.005,16-08-2012,Rwanda,RW,Hetero Unit III Hyderabad IN,Air,POINT (17.536240313743992 78.23503560850763),POINT (17.627199173 78.4033966064),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3552.487702,,,0.728259979,0.010482937,0.738742916
66,14431,"Nelfinavir (as mesilate) 250mg [Viracept], tablets, 270 Tabs",0.027,05-07-2012,Rwanda,RW,Roche Madrid,Air,POINT (-33.70130770673338 -53.46275754309377),POINT (-33.71085 -53.471334),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,5775.782059,,,6.393790739,0.056607862,6.450398601
67,77737,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",0.613,25-02-2012,Rwanda,RW,"Trinity Biotech, Plc",Air,POINT (42.95551000000006 -78.71387699999997),POINT (42.94049835 -78.73220062),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,7259.863899,,,182.4621594,1.285208127,183.7473675
68,82461,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",0.334,05-03-2012,Rwanda,RW,"Trinity Biotech, Plc",Air,POINT (42.95551000000006 -78.71387699999997),POINT (42.94049835 -78.73220062),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,7259.863899,,,99.41657623,0.700260219,100.1168365
69,30982,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",1.362,13-02-2012,Rwanda,RW,Inverness Japan,Air,POINT (57.47998157100005 -4.2262195809999525),POINT (57.55888 -4.19959),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,4530.007376,10.31205339,2.963498527,252.9646719,2.855552152,258.7837226
70,15726,"Abacavir 300mg, tablets, 60 Tabs",4.81,07-08-2012,Rwanda,RW,Mylan (formerly Matrix) Nashik,Air,POINT (19.99727000000007 73.79096000000004),POINT (19.8841 73.84056666670001),Road,POINT (-1.96863 30.1395),POINT (-1.9757499999999482 30.03177000000005),Road,3,9.936433569,3323.742681,10.06704612,10.21714578,655.475294,10.08458579,675.7770256
